Reference No *,Customer Name *,Mobile Number *,Email,GST Number,Contact Person,Country *,State *,City *,Address 1 *,Address 2,Address 3,Postal Code,Site Name,Billing Country *,Billing State *,Billing City *,Billing Address 1 *,Billing Address 2,Billing Address 3,Billing Postal Code,Billing Mobile Number *,Billing Email,Billing Contact Person,Shipping Country *,Shipping State *,Shipping  City *,Shipping Address 1 *,Shipping Address 2,Shipping Address 3,Shipping Postal Code,Shipping Mobile Number *,Shipping Email,Shipping Contact Person
1011,RISHABH AGENCIES,9385351461,,,Arun Jeerawla,India,Tamil Nadu,Chennai,"31, Amman Koil Street",Park Town,,600003,RISHABH AGENCIES,India,Tamil Nadu,Chennai,"31, Amman Koil Street",Park Town,,600003,9385351461,,Arun Jeerawla,India,Tamil Nadu,Chennai,"31, Amman Koil Street",Park Town,,600003,9385351461,,Arun Jeerawla
1012,Vellore Traders,9786783111,,33AWVPM2724J1Z6,,India,Tamil Nadu,Vellore,"No 549 , Nethaji Bose Road",Phase 111 Vallalar Sathuvachari,,632001,Vellore Traders,India,Tamil Nadu,Vellore,"No 549 , Nethaji Bose Road",Phase 111 Vallalar Sathuvachari,,632001,9786783111,,,India,Tamil Nadu,Vellore,"No 549 , Nethaji Bose Road",Phase 111 Vallalar Sathuvachari,,632001,9786783111,,
1013,Times Home Appliances,8012392885,,33AAIPA9149A1Z6,,India,Tamil Nadu,Salem,"No 27 , Veera Pandiyar Nagar",Near New Bus Stand,,636004,Times Home Appliances,India,Tamil Nadu,Salem,"No 27 , Veera Pandiyar Nagar",Near New Bus Stand,,636004,8012392885,,,India,Tamil Nadu,Salem,"No 27 , Veera Pandiyar Nagar",Near New Bus Stand,,636004,8012392885,,
1014,TIME HOME APPLIANCE-HOSUR,9626124786,,33AABPT7595A1ZO,,India,Tamil Nadu,Hosur,NO 7 SRI SAI COMPLEX RAILWAY STAION,Hosur,,635109,TIME HOME APPLIANCE-HOSUR,India,Tamil Nadu,Hosur,NO 7 SRI SAI COMPLEX RAILWAY STAION,Hosur,,635109,9626124786,,,India,Tamil Nadu,Hosur,NO 7 SRI SAI COMPLEX RAILWAY STAION,Hosur,,635109,9626124786,,
1015,STOVE KRAFT LIMITED,,,29AADCS9958B1ZY,Srinivas,India,Karnataka,Bangalore,"Harohalli Industrial Area,Kanakapura Taluk,","Ramanagara Dist,Bangalore,",,562112,STOVE KRAFT LIMITED,India,Karnataka,Bangalore,"Harohalli Industrial Area,Kanakapura Taluk,","Ramanagara Dist,Bangalore,",,562112,,,Srinivas,India,Karnataka,Bangalore,"Harohalli Industrial Area,Kanakapura Taluk,","Ramanagara Dist,Bangalore,",,562112,,,Srinivas
1016,SOWBAGHYA ENTERPRISES P LTD,7708008399,,33AAGCS6615N1Z1,,India,Tamil Nadu,Chennai,"32/A, North Usman Road,","T-Nagar, Chennai – 600 017",,600017,SOWBAGHYA ENTERPRISES P LTD,India,Tamil Nadu,Chennai,"32/A, North Usman Road,","T-Nagar, Chennai – 600 017",,600017,7708008399,,,India,Tamil Nadu,Chennai,"32/A, North Usman Road,","T-Nagar, Chennai – 600 017",,600017,7708008399,,
1017,SHREE BALAJI MARKETING,,,24DCTPS1122M1Z7,,India,Gujarat, AHMEDABAD,"1749,NAVA RASTA MADVI NI POLE",MANEK CHOKE-AHMEDABAD,,380001,SHREE BALAJI MARKETING,India,Gujarat, AHMEDABAD,"1749,NAVA RASTA MADVI NI POLE",MANEK CHOKE-AHMEDABAD,,380001,,,,India,Gujarat, AHMEDABAD,"1749,NAVA RASTA MADVI NI POLE",MANEK CHOKE-AHMEDABAD,,380001,,,
1018,GRIHALAXMI CORPORATION,9844406074,,29AAXFG5000F1ZB,,India,Karnataka,Davanagere,"#104/A1, B.T.Layout",Davanagere,,577001,GRIHALAXMI CORPORATION,India,Karnataka,Davanagere,"#104/A1, B.T.Layout",Davanagere,,577001,9844406074,,,India,Karnataka,Davanagere,"#104/A1, B.T.Layout",Davanagere,,577001,9844406074,,
1019,SHINAG ALLIED ENTERPRISES PVT LTD,9845012951,,29AAYCS2378C1ZR,,India,Karnataka,Bangalore,"NO,288/1 LAKSHMIPURA,","THATAGUNI POST, AGARA PANCHAYATH,","KANAKAPURA MAIN ROAD,",560082,SHINAG ALLIED ENTERPRISES PVT LTD,India,Karnataka,Bangalore,"NO,288/1 LAKSHMIPURA,","THATAGUNI POST, AGARA PANCHAYATH,","KANAKAPURA MAIN ROAD,",560082,9845012951,,,India,Karnataka,Bangalore,"NO,288/1 LAKSHMIPURA,","THATAGUNI POST, AGARA PANCHAYATH,","KANAKAPURA MAIN ROAD,",560082,9845012951,,
1020,INDUS ALLIED PRIVATE LIMITED,,,29AAGCI7726N1ZU,,India,Karnataka,Bangalore,"K NO.234,NO.26,G-30/18",YELLUKUNTE BANGALORE,,560102,INDUS ALLIED PRIVATE LIMITED,India,Karnataka,Bangalore,"K NO.234,NO.26,G-30/18",YELLUKUNTE BANGALORE,,560102,,,,India,Karnataka,Bangalore,"K NO.234,NO.26,G-30/18",YELLUKUNTE BANGALORE,,560102,,,
1021,Gabry Aluminium Co.Pvt Ltd,9745345999,,32AADCG5093P1Z8,,India,Kerala,Kochi,"IDA,Muppathadam .P.O","Aluva,",Kochi,683110,Gabry Aluminium Co.Pvt Ltd,India,Kerala,Kochi,"IDA,Muppathadam .P.O","Aluva,",Kochi,683110,9745345999,,,India,Kerala,Kochi,"IDA,Muppathadam .P.O","Aluva,",,683110,9745345999,,
1022,KPB Global Exporters Pvt Ltd,8879006519,,27AACCO7402R1ZZ,,India,Maharastra,MUMBAI,"Plot No A-192,TTC Industrial Area,","Khairane MIDC,Navi,",Mumbai,400710,KPB Global Exporters Pvt Ltd,India,Maharastra,MUMBAI,"Plot No A-192,TTC Industrial Area,","Khairane MIDC,Navi,",Mumbai,400710,8879006519,,,India,Maharastra,MUMBAI,"Plot No A-192,TTC Industrial Area,","Khairane MIDC,Navi,",Mumbai,400710,8879006519,,
